fs_id|company_id|fs_date|fs_reminderdate1|fs_reminderdate2|fs_reminderdate3|fs_submissiondate|fs_status|fs_fileddate|fs_deadline|fs_agm
1|1|28/02/2018|01/02/2018|01/05/2018|01/08/2018|27/09/2018|f||28/08/2018|
2|2|31/01/2008|01/01/2008|01/04/2008|01/07/2008|30/08/2008|t|31/01/2008|31/07/2008|11/10/2017
4|2|31/01/2009|01/01/2009|01/04/2009|01/07/2009|30/08/2009|t|31/01/2009|31/07/2009|11/10/2017
93|8|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|19/01/2018|30/06/2017|
6|2|31/01/2010|01/01/2010|01/04/2010|01/07/2010|30/08/2010|t|31/01/2010|31/07/2010|11/10/2017
48|9|30/06/2017|01/06/2017|01/09/2017|01/12/2017|29/01/2018|t|30/06/2017||
8|2|31/01/2011|01/01/2011|01/04/2011|01/07/2011|30/08/2011|t|31/01/2011|31/07/2011|11/10/2017
95|7|31/07/2017|01/07/2017|01/10/2017|01/01/2018|02/03/2018|t|19/01/2018|18/01/2018|
10|2|31/01/2012|01/01/2012|01/04/2012|01/07/2012|30/08/2012|t|31/01/2012|31/07/2012|11/10/2017
12|2|31/01/2013|01/01/2013|01/04/2013|01/07/2013|30/08/2013|t|31/01/2013|31/07/2013|11/10/2017
14|2|31/01/2014|01/01/2014|01/04/2014|01/07/2014|30/08/2014|t|31/01/2014|31/07/2014|11/10/2017
16|2|31/01/2015|01/01/2015|01/04/2015|01/07/2015|30/08/2015|t|31/01/2015|31/07/2015|11/10/2017
18|2|31/01/2016|01/01/2016|01/04/2016|01/07/2016|30/08/2016|t|31/01/2016|31/07/2016|11/10/2017
20|2|31/12/2016|01/12/2016|01/03/2017|01/06/2017|30/07/2017|t|31/12/2016|30/06/2017|11/10/2017
21|2|31/12/2017|01/12/2017|01/03/2018|01/06/2018|30/07/2018|f||30/06/2018|
23|4|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
24|5|01/01/2018|01/01/2018|01/04/2018|01/07/2018|31/07/2018|f||01/07/2018|
